SID,Name,ISO_TIME,BASIN,SUBBASIN,NATURE
1851175N26270,NOT_NAMED,1851-06-25 00:00:00,NA,GM,TS
1851187N22262,NOT_NAMED,1851-07-05 12:00:00,NA,GM,TS
1851192N12300,NOT_NAMED,1851-07-10 12:00:00,NA,CS,TS
1851228N13313,NOT_NAMED,1851-08-16 00:00:00,NA,NA,TS
1851256N33287,NOT_NAMED,1851-09-13 00:00:00,NA,NA,TS
1851289N29282,NOT_NAMED,1851-10-16 00:00:00,NA,NA,TS
1852232N21293,NOT_NAMED,1852-08-19 00:00:00,NA,NA,TS
1852247N14309,NOT_NAMED,1852-09-09 00:00:00,NA,GM,TS
1852249N17296,NOT_NAMED,1852-09-05 00:00:00,NA,CS,TS
1852264N13309,NOT_NAMED,1852-09-22 00:00:00,NA,NA,TS
1852278N14293,NOT_NAMED,1852-10-06 00:00:00,NA,CS,TS
1853218N33291,NOT_NAMED,1853-08-05 12:00:00,NA,NA,TS
1853223N12300,NOT_NAMED,1853-08-10 12:00:00,NA,CS,TS
1853242N12336,NOT_NAMED,1853-08-30 00:00:00,NA,NA,TS
1853251N37307,NOT_NAMED,1853-09-08 00:00:00,NA,NA,TS
1853252N40301,NOT_NAMED,1853-09-09 06:00:00,NA,NA,TS
1853265N20265,NOT_NAMED,1853-09-21 12:00:00,NA,GM,TS
1853269N26298,NOT_NAMED,1853-09-26 00:00:00,NA,NA,TS
1853272N15323,NOT_NAMED,1853-09-28 12:00:00,NA,NA,TS
1853291N32280,NOT_NAMED,1853-10-19 00:00:00,NA,NA,TS
1854176N26268,NOT_NAMED,1854-06-25 00:00:00,NA,GM,TS
1854236N33305,NOT_NAMED,1854-08-23 12:00:00,NA,NA,TS
1854246N25300,NOT_NAMED,1854-09-07 00:00:00,NA,NA,TS
1854259N24266,NOT_NAMED,1854-09-18 00:00:00,NA,GM,TS
1854293N25292,NOT_NAMED,1854-10-20 00:00:00,NA,NA,TS
1855219N22262,NOT_NAMED,1855-08-06 12:00:00,NA,NA,TS
1855222N44318,NOT_NAMED,1855-08-10 00:00:00,NA,NA,TS
1855224N13277,NOT_NAMED,1855-08-11 12:00:00,NA,CS,TS
1855236N12304,NOT_NAMED,1855-08-24 00:00:00,NA,NA,TS
1855252N20274,NOT_NAMED,1855-09-15 00:00:00,NA,GM,TS
1856221N25277,NOT_NAMED,1856-08-09 00:00:00,NA,GM,TS
1856226N11308,NOT_NAMED,1856-08-13 00:00:00,NA,NA,TS
1856232N33285,NOT_NAMED,1856-08-19 00:00:00,NA,NA,TS
1856235N13302,NOT_NAMED,1856-08-25 00:00:00,NA,NA,TS
1856235N23278,NOT_NAMED,1856-08-21 12:00:00,NA,NA,TS
1856254N09333,NOT_NAMED,1856-09-18 00:00:00,NA,NA,TS
1857181N34286,NOT_NAMED,1857-06-30 00:00:00,NA,NA,TS
1857249N27286,NOT_NAMED,1857-09-06 18:00:00,NA,NA,TS
1857265N33287,NOT_NAMED,1857-09-22 00:00:00,NA,NA,TS
1857267N16305,NOT_NAMED,1857-09-24 00:00:00,NA,NA,TS
1858164N19275,NOT_NAMED,1858-06-12 12:00:00,NA,CS,TS
1858218N45320,NOT_NAMED,1858-08-05 12:00:00,NA,NA,TS
1858254N21273,NOT_NAMED,1858-09-14 00:00:00,NA,GM,TS
1858260N18319,NOT_NAMED,1858-09-17 00:00:00,NA,NA,TS
1858266N22286,NOT_NAMED,1858-09-22 12:00:00,NA,NA,TS
1858291N21287,NOT_NAMED,1858-10-21 00:00:00,NA,NA,TS
1859183N22263,NOT_NAMED,1859-07-01 12:00:00,NA,GM,TS
1859224N28287,NOT_NAMED,1859-08-17 00:00:00,NA,NA,TS
1859245N17300,NOT_NAMED,1859-09-02 00:00:00,NA,NA,TS
1859249N11324,NOT_NAMED,1859-09-12 06:00:00,NA,NA,TS
1859253N21275,NOT_NAMED,1859-09-15 00:00:00,NA,GM,TS
1859273N17289,NOT_NAMED,1859-10-02 00:00:00,NA,NA,TS
1859289N25285,NOT_NAMED,1859-10-16 00:00:00,NA,NA,TS
1859297N20267,NOT_NAMED,1859-10-24 00:00:00,NA,GM,TS
1860221N28276,NOT_NAMED,1860-08-08 00:00:00,NA,GM,TS
1860237N28283,NOT_NAMED,1860-08-24 00:00:00,NA,NA,TS
1860252N18284,NOT_NAMED,1860-09-11 00:00:00,NA,GM,TS
1860256N40310,NOT_NAMED,1860-09-11 12:00:00,NA,NA,TS
1860262N22294,NOT_NAMED,1860-09-18 00:00:00,NA,NA,TS
1860269N20266,NOT_NAMED,1860-09-30 00:00:00,NA,GM,TS
1860289N14290,NOT_NAMED,1860-10-20 00:00:00,NA,NA,TS
1861185N15303,NOT_NAMED,1861-07-06 00:00:00,NA,NA,TS
1861226N21290,NOT_NAMED,1861-08-13 12:00:00,NA,NA,TS
1861237N35296,NOT_NAMED,1861-08-25 00:00:00,NA,NA,TS
1861261N29310,NOT_NAMED,1861-09-17 12:00:00,NA,NA,TS
1861270N29283,NOT_NAMED,1861-09-27 06:00:00,NA,NA,TS
1861279N20314,NOT_NAMED,1861-10-06 00:00:00,NA,NA,TS
1861281N35285,NOT_NAMED,1861-10-07 12:00:00,NA,NA,TS
1861305N26278,NOT_NAMED,1861-11-01 06:00:00,NA,GM,TS
1862166N32284,NOT_NAMED,1862-06-15 00:00:00,NA,NA,TS
1862229N24294,NOT_NAMED,1862-08-18 00:00:00,NA,NA,TS
1862251N15325,NOT_NAMED,1862-09-12 00:00:00,NA,NA,TS
1862279N13299,NOT_NAMED,1862-10-06 00:00:00,NA,CS,TS
1862287N33290,NOT_NAMED,1862-10-14 00:00:00,NA,NA,TS
1862326N11280,NOT_NAMED,1862-11-22 00:00:00,NA,CS,TS
1863220N38309,NOT_NAMED,1863-08-08 00:00:00,NA,NA,TS
1863230N39302,NOT_NAMED,1863-08-18 00:00:00,NA,NA,TS
1863231N27293,NOT_NAMED,1863-08-19 00:00:00,NA,NA,TS
1863239N31281,NOT_NAMED,1863-08-27 00:00:00,NA,NA,TS
1863248N11308,NOT_NAMED,1863-09-09 00:00:00,NA,NA,TS
1863259N25280,NOT_NAMED,1863-09-16 00:00:00,NA,NA,TS
1863262N23264,NOT_NAMED,1863-09-18 12:00:00,NA,GM,TS
1863270N21267,NOT_NAMED,1863-09-29 00:00:00,NA,GM,TS
1863270N31290,NOT_NAMED,1863-09-26 12:00:00,NA,NA,TS
1864197N35285,NOT_NAMED,1864-07-16 00:00:00,NA,NA,TS
1864208N24271,NOT_NAMED,1864-07-25 12:00:00,NA,GM,TS
1864239N15306,NOT_NAMED,1864-08-26 00:00:00,NA,NA,TS
1864249N33288,NOT_NAMED,1864-09-05 00:00:00,NA,NA,TS
1864296N29288,NOT_NAMED,1864-10-22 00:00:00,NA,NA,TS
1865150N13280,NOT_NAMED,1865-05-30 00:00:00,NA,CS,TS
1865182N26263,NOT_NAMED,1865-06-30 12:00:00,NA,NA,TS
1865232N30282,NOT_NAMED,1865-08-20 00:00:00,NA,NA,TS
1865247N13318,NOT_NAMED,1865-09-06 00:00:00,NA,NA,TS
1865250N30268,NOT_NAMED,1865-09-07 00:00:00,NA,GM,TS
1865272N26291,NOT_NAMED,1865-09-28 12:00:00,NA,NA,TS
1865287N11303,NOT_NAMED,1865-10-18 00:00:00,NA,CS,TS
1866193N27271,NOT_NAMED,1866-07-11 12:00:00,NA,GM,TS
1866225N14298,NOT_NAMED,1866-08-13 00:00:00,NA,CS,TS
1866247N33292,NOT_NAMED,1866-09-04 00:00:00,NA,NA,TS
1866262N15331,NOT_NAMED,1866-09-18 12:00:00,NA,NA,TS
1866263N36292,NOT_NAMED,1866-09-22 00:00:00,NA,NA,TS
1866264N11342,NOT_NAMED,1866-09-24 00:00:00,NA,NA,TS
1866302N33285,NOT_NAMED,1866-10-29 06:00:00,NA,NA,MX
1867172N28280,NOT_NAMED,1867-06-21 12:00:00,NA,NA,MX
1867209N18303,NOT_NAMED,1867-07-28 00:00:00,NA,NA,TS
1867215N14283,NOT_NAMED,1867-08-02 12:00:00,NA,CS,TS
1867243N31288,NOT_NAMED,1867-08-31 00:00:00,NA,NA,TS
1867252N17302,NOT_NAMED,1867-09-08 12:00:00,NA,NA,TS
1867268N18278,NOT_NAMED,1867-10-02 00:00:00,NA,GM,TS
1867272N30286,NOT_NAMED,1867-09-29 00:00:00,NA,NA,TS
1867283N18297,NOT_NAMED,1867-10-09 12:00:00,NA,CS,TS
1867300N19310,NOT_NAMED,1867-10-27 00:00:00,NA,NA,TS
1868240N16327,NOT_NAMED,1868-09-03 00:00:00,NA,NA,TS
1868275N27265,NOT_NAMED,1868-10-01 00:00:00,NA,GM,TS
1868278N14280,NOT_NAMED,1868-10-05 00:00:00,NA,CS,TS
1868289N26287,NOT_NAMED,1868-10-15 00:00:00,NA,NA,TS
1869224N41313,NOT_NAMED,1869-08-12 00:00:00,NA,NA,TS
1869226N20276,NOT_NAMED,1869-08-16 00:00:00,NA,GM,TS
1869239N33313,NOT_NAMED,1869-08-27 00:00:00,NA,NA,TS
1869244N28287,NOT_NAMED,1869-09-01 00:00:00,NA,NA,TS
1869245N20288,NOT_NAMED,1869-09-07 00:00:00,NA,NA,TS
1869247N26271,NOT_NAMED,1869-09-04 00:00:00,NA,GM,TS
1869253N10328,NOT_NAMED,1869-09-11 00:00:00,NA,NA,TS
1869258N16317,NOT_NAMED,1869-09-14 12:00:00,NA,NA,TS
1869270N18308,NOT_NAMED,1869-10-04 00:00:00,NA,NA,TS
1869275N17293,NOT_NAMED,1869-10-01 12:00:00,NA,CS,TS
1870212N31272,NOT_NAMED,1870-07-30 18:00:00,NA,GM,TS
1870238N14310,NOT_NAMED,1870-08-30 00:00:00,NA,NA,TS
1870242N13338,NOT_NAMED,1870-09-01 00:00:00,NA,NA,TS
1870244N16332,NOT_NAMED,1870-09-01 00:00:00,NA,NA,TS
1870255N40301,NOT_NAMED,1870-09-11 18:00:00,NA,NA,TS
1870260N30292,NOT_NAMED,1870-09-17 00:00:00,NA,NA,TS
1870278N18286,NOT_NAMED,1870-10-05 00:00:00,NA,CS,TS
1870280N10331,NOT_NAMED,1870-10-10 00:00:00,NA,NA,TS
1870290N15279,NOT_NAMED,1870-10-19 00:00:00,NA,CS,TS
1870296N20288,NOT_NAMED,1870-10-23 12:00:00,NA,NA,TS
1870300N14283,NOT_NAMED,1870-10-30 00:00:00,NA,CS,TS
1871152N24279,NOT_NAMED,1871-06-01 00:00:00,NA,NA,TS
1871159N23270,NOT_NAMED,1871-06-08 00:00:00,NA,GM,TS
1871224N26291,NOT_NAMED,1871-08-14 00:00:00,NA,NA,TS
1871229N11329,NOT_NAMED,1871-08-17 00:00:00,NA,NA,TS
1871239N24298,NOT_NAMED,1871-08-30 00:00:00,NA,NA,TS
1871247N28277,NOT_NAMED,1871-09-05 00:00:00,NA,GM,TS
1871271N19269,NOT_NAMED,1871-09-30 00:00:00,NA,GM,TS
1871283N23302,NOT_NAMED,1871-10-10 00:00:00,NA,NA,TS
1872191N25268,NOT_NAMED,1872-07-09 00:00:00,NA,GM,TS
1872233N14334,NOT_NAMED,1872-08-20 00:00:00,NA,NA,TS
1872253N13301,NOT_NAMED,1872-09-09 00:00:00,NA,NA,TS
1872274N13328,NOT_NAMED,1872-09-30 00:00:00,NA,NA,TS
1872296N23271,NOT_NAMED,1872-10-22 00:00:00,NA,GM,TS
1873152N24281,NOT_NAMED,1873-06-01 06:00:00,NA,NA,TS
1873225N14335,NOT_NAMED,1873-08-13 00:00:00,NA,NA,TS
1873256N13296,NOT_NAMED,1873-09-18 00:00:00,NA,GM,TS
1873265N22274,NOT_NAMED,1873-09-22 00:00:00,NA,GM,TS
1873269N13303,NOT_NAMED,1873-09-26 00:00:00,NA,CS,TS
1874183N26275,NOT_NAMED,1874-07-02 00:00:00,NA,GM,TS
1874215N25306,NOT_NAMED,1874-08-03 00:00:00,NA,NA,TS
1874241N14326,NOT_NAMED,1874-08-29 00:00:00,NA,NA,TS
1874245N20265,NOT_NAMED,1874-09-02 00:00:00,NA,GM,TS
1874251N26289,NOT_NAMED,1874-09-08 00:00:00,NA,NA,TS
1874268N18274,NOT_NAMED,1874-09-25 00:00:00,NA,CS,TS
1874304N14283,NOT_NAMED,1874-10-31 00:00:00,NA,CS,TS
1875228N31284,NOT_NAMED,1875-08-16 00:00:00,NA,NA,TS
1875243N14330,NOT_NAMED,1875-09-01 00:00:00,NA,NA,TS
